c,m,J,XieBeni,Iterations,Converged
3,2.5,893.66820894512,0.27208669697987115,2,True
3,1.2,2991.639940425714,0.36963333706831814,4,True
3,1.5,2584.211783933362,0.4386918453894371,3,True
3,2.0,1538.152827092802,0.4587548358293198,2,True
