Kabupaten/Kota,cluster_1,cluster_2,cluster_3,Cluster
Kabupaten Bangkalan,1.0014987872409213e-57,2.1839264790875176e-57,0.9999999999989999,3
Kabupaten Banyuwangi,0.12029870345146457,0.3238149115392076,0.5558863850088994,3
Kabupaten Blitar,0.6943649630415802,0.18556755852765702,0.12006747843023188,1
Kabupaten Bojonegoro,0.5524810325963746,0.33389453227414084,0.11362443512905485,1
Kabupaten Bondowoso,0.21668705237615474,0.1855467745256546,0.5977661730977519,3
Kabupaten Gresik,0.9999999999989999,7.060349106347401e-58,1.0014987872409213e-57,1
Kabupaten Jember,0.21668705237615474,0.1855467745256546,0.5977661730977519,3
Kabupaten Jombang,0.8761186885318794,0.06556014359978507,0.05832116786756028,1
Kabupaten Kediri,7.060349106347401e-58,0.9999999999989999,2.1839264790875176e-57,2
Kabupaten Lamongan,0.9999999999989999,7.060349106347401e-58,1.0014987872409213e-57,1
Kabupaten Lumajang,0.06981125832053722,0.24507846290415924,0.6851102787747693,3
Kabupaten Madiun,0.5524810325963746,0.33389453227414084,0.11362443512905485,1
Kabupaten Magetan,0.12051534591180832,0.6933303071401602,0.18615434694750152,2
Kabupaten Malang,0.6943649630415802,0.18556755852765702,0.12006747843023188,1
Kabupaten Mojokerto,0.8761186885318794,0.06556014359978507,0.05832116786756028,1
Kabupaten Nganjuk,0.5524810325963746,0.33389453227414084,0.11362443512905485,1
Kabupaten Ngawi,0.12051534591180832,0.6933303071401602,0.18615434694750152,2
Kabupaten Pacitan,0.005683178455589059,0.9799958052870488,0.014321016256401576,2
Kabupaten Pamekasan,0.0019609065541246525,0.005686761445212654,0.9923523319996779,3
Kabupaten Pasuruan,0.06981125832053722,0.24507846290415924,0.6851102787747693,3
Kabupaten Ponorogo,0.005683178455589059,0.9799958052870488,0.014321016256401576,2
Kabupaten Probolinggo,0.06981125832053722,0.24507846290415924,0.6851102787747693,3
Kabupaten Sampang,1.0014987872409213e-57,2.1839264790875176e-57,0.9999999999989999,3
Kabupaten Sidoarjo,0.8761186885318794,0.06556014359978507,0.05832116786756028,1
Kabupaten Situbondo,0.184112585266638,0.10050407896398089,0.7153833357688252,3
Kabupaten Sumenep,0.0019609065541246525,0.005686761445212654,0.9923523319996779,3
Kabupaten Trenggalek,7.060349106347401e-58,0.9999999999989999,2.1839264790875176e-57,2
Kabupaten Tuban,0.6289395446819765,0.20066876784474266,0.17039168747281586,1
Kabupaten Tulungagung,7.060349106347401e-58,0.9999999999989999,2.1839264790875176e-57,2
Kota Batu,0.6943649630415802,0.18556755852765702,0.12006747843023188,1
Kota Blitar,7.060349106347401e-58,0.9999999999989999,2.1839264790875176e-57,2
Kota Kediri,7.060349106347401e-58,0.9999999999989999,2.1839264790875176e-57,2
Kota Madiun,0.12051534591180832,0.6933303071401602,0.18615434694750152,2
Kota Malang,0.6943649630415802,0.18556755852765702,0.12006747843023188,1
Kota Mojokerto,0.8761186885318794,0.06556014359978507,0.05832116786756028,1
Kota Pasuruan,0.047747153523679364,0.06492740918475576,0.887325437290771,3
Kota Probolinggo,0.06981125832053722,0.24507846290415924,0.6851102787747693,3
Kota Surabaya,0.9999999999989999,7.060349106347401e-58,1.0014987872409213e-57,1
