Cluster,count,mean,median,std,min,max,Q1,Q3
1,18632,5.7206021897810215,2.35,9.784759674920446,0.0,173.92,0.15,7.862500000000001
2,8768,6.178234489051095,2.5149999999999997,11.775443614769419,0.0,233.35,0.07,8.4625
3,14248,6.164422375070186,1.93,13.738887851423343,0.0,318.68,0.12,7.86
