c,m,J,XieBeni,Iterations,Converged,n_init,max_iter,tol
3,2.5,893.66820894512,0.27208669697987115,2,True,15,300,1e-05
3,1.5,2584.211783933362,0.4386918453894371,3,True,15,300,1e-05
3,2.0,1538.152827092802,0.4587548358293198,2,True,15,300,1e-05
