Kabupaten/Kota,cluster_1,cluster_2,cluster_3
Kabupaten Bangkalan,0.4444549823604682,0.34191155565911946,0.21363346198005218
Kabupaten Banyuwangi,0.4235188577368747,0.35504673139433435,0.22143441086843652
Kabupaten Blitar,2.792536371285257e-29,2.2294729090626918e-29,0.9999999999989999
Kabupaten Bojonegoro,0.2773941078642592,0.42219792211248575,0.30040797002290953
Kabupaten Bondowoso,0.3056555825446962,0.3327280870319298,0.36161633042303903
Kabupaten Gresik,0.24262543026124173,0.26412701450213755,0.49324755523624875
Kabupaten Jember,0.3056555825446962,0.3327280870319298,0.36161633042303903
Kabupaten Jombang,0.15625523174237907,0.1691452053904681,0.6745995628666447
Kabupaten Kediri,0.9999999999989999,6.938067300612693e-29,2.792536371285257e-29
Kabupaten Lamongan,0.24262543026124173,0.26412701450213755,0.49324755523624875
Kabupaten Lumajang,0.427324588953799,0.3535639860833689,0.2191114249624764
Kabupaten Madiun,0.2773941078642592,0.42219792211248575,0.30040797002290953
Kabupaten Magetan,6.938067300612693e-29,0.9999999999989999,2.2294729090626918e-29
Kabupaten Malang,2.792536371285257e-29,2.2294729090626918e-29,0.9999999999989999
Kabupaten Mojokerto,0.15625523174237907,0.1691452053904681,0.6745995628666447
Kabupaten Nganjuk,0.2773941078642592,0.42219792211248575,0.30040797002290953
Kabupaten Ngawi,6.938067300612693e-29,0.9999999999989999,2.2294729090626918e-29
Kabupaten Pacitan,0.782296771703102,0.16337155598857914,0.05433167230767708
Kabupaten Pamekasan,0.45179342590423405,0.3503762803588063,0.1978302937365936
Kabupaten Pasuruan,0.427324588953799,0.3535639860833689,0.2191114249624764
Kabupaten Ponorogo,0.782296771703102,0.16337155598857914,0.05433167230767708
Kabupaten Probolinggo,0.427324588953799,0.3535639860833689,0.2191114249624764
Kabupaten Sampang,0.4444549823604682,0.34191155565911946,0.21363346198005218
Kabupaten Sidoarjo,0.15625523174237907,0.1691452053904681,0.6745995628666447
Kabupaten Situbondo,0.3142056752631788,0.3657293498692546,0.3200649748672317
Kabupaten Sumenep,0.45179342590423405,0.3503762803588063,0.1978302937365936
Kabupaten Trenggalek,0.9999999999989999,6.938067300612693e-29,2.792536371285257e-29
Kabupaten Tuban,0.326305247071982,0.3862657872404114,0.28742896568726833
Kabupaten Tulungagung,0.9999999999989999,6.938067300612693e-29,2.792536371285257e-29
Kota Batu,2.792536371285257e-29,2.2294729090626918e-29,0.9999999999989999
Kota Blitar,0.9999999999989999,6.938067300612693e-29,2.792536371285257e-29
Kota Kediri,0.9999999999989999,6.938067300612693e-29,2.792536371285257e-29
Kota Madiun,6.938067300612693e-29,0.9999999999989999,2.2294729090626918e-29
Kota Malang,2.792536371285257e-29,2.2294729090626918e-29,0.9999999999989999
Kota Mojokerto,0.15625523174237907,0.1691452053904681,0.6745995628666447
Kota Pasuruan,0.3755968424279219,0.3670522053817959,0.25735095218994003
Kota Probolinggo,0.427324588953799,0.3535639860833689,0.2191114249624764
Kota Surabaya,0.24262543026124173,0.26412701450213755,0.49324755523624875
