tahun,Cluster,mm_per_hari
2022,1,6.63247219983884
2022,2,6.762202054794521
2022,3,6.960739726027397
2023,1,5.30043996776793
2023,2,5.868366438356165
2023,3,6.226687038988409
2024,1,5.230237865638059
2024,2,5.904883879781421
2024,3,5.308186212694409
